,,"Cyclotron","BL2A",,"ISAC",,,,,,,,,"OLIS",,,,,,,
Date,Shift,Offline,"current (uA)",Offline,Exp. #,Facility,Note,"West / East","Beam","Energy (keV)","Tgt","Source","Mod",Exp. #,Facility,Note,"Beam","Energy (keV)","Source",Offline
"2016-06-23","AM",,,,"S841","YIELD",,"West","158,160,162,164,166Tm","20-30","HP Ta","TRILIS","2","S1293","TIGRESS (SEBT3A)",,"78Kr","7690A","MCIS",,
"2016-06-23","PM",,,,"S841","YIELD",,"West","56-60Cu","20-30","HP Ta","TRILIS","2","S1293","TIGRESS (SEBT3A)",,"78Kr","7690A","MCIS",,
"2016-06-24","AM",,,,"S841","YIELD",,"West","56-60Cu","20-30","HP Ta","TRILIS","2","S1293","TIGRESS (SEBT3A)",,"78Kr","7690A","MCIS",,
"2016-06-24","PM",,,,"S841","YIELD",,"West","56-60Cu","20-30","HP Ta","TRILIS","2","S1293","TIGRESS (SEBT3A)",,"78Kr","7690A","MCIS",,
"2016-06-25","AM",,,,"Test","N/A","Operator Training","West","7Li","20-30","HP Ta","TRILIS","2",,,,,,,Maintenance,
"2016-06-25","PM",,,,"Test","N/A","Operator Training","West","7Li","20-30","HP Ta","TRILIS","2",,,,,,,Maintenance,
"2016-06-26","AM",,,,"Test","N/A","Operator Training","West","7Li","20-30","HP Ta","TRILIS","2",,,,,,,Maintenance,
"2016-06-26","PM",,,,"Test","N/A","Operator Training/Target Scan","West","7Li","20-30","HP Ta","TRILIS","2",,,,,,,Maintenance,
"2016-06-27","AM",,,,"Start-up","N/A",,"East",,,"LP UC_x","IGLIS","4","Start-up","N/A",,"23Na","180A-1400A","SIS",,
"2016-06-27","PM",,,,"Start-up","N/A",,"East",,,"LP UC_x","IGLIS","4","Start-up","N/A",,"23Na","180A-1400A","SIS",,
"2016-06-28","AM",(If req.) Maint if required,,,"Start-up","N/A",,"East",,,"LP UC_x","IGLIS","4","Setup","DRAGON (HEBT2)",,"23Na","180A-1400A","SIS",,
"2016-06-28","PM",,,,"Yield","YIELD ",,"East",,,"LP UC_x","IGLIS","4","Setup","DRAGON (HEBT2)",,"23Na","180A-1400A","SIS",,
"2016-06-29","AM",,,,"Setup","GRIFFIN (ILE1B)",,"East","131 or 132Cd","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"23Na","180A-1400A","SIS",,
"2016-06-29","PM",,,,"S1457","GRIFFIN (ILE1B)",,"East","131 or 132Cd","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"23Na","180A-1400A","SIS",,
"2016-06-30","AM",,,,"S1457","GRIFFIN (ILE1B)",,"East","131 or 132Cd","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"23Na","180A-1400A","SIS",,
"2016-06-30","PM",,,,"S1457","GRIFFIN (ILE1B)",,"East","131 or 132Cd","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"23Na","180A-1400A","SIS",,
"2016-07-01","AM",,,,"Setup","TITAN (ILE2T)",,"East","129-132Cd","20","LP UC_x","IGLIS","4",,,,,,,Maintenance,
"2016-07-01","PM",,,,"S1466","TITAN (ILE2T)",,"East","129-132Cd","20","LP UC_x","IGLIS","4",,,,,,,Maintenance,
"2016-07-02","AM",,,,"S1466","TITAN (ILE2T)",,"East","129-132Cd","20","LP UC_x","IGLIS","4",,,,,,,Maintenance,
"2016-07-02","PM",,,,"S1466","TITAN (ILE2T)",,"East","129-132Cd","20","LP UC_x","IGLIS","4",,,,,,,Maintenance,
"2016-07-03","AM",,,,"S1466","TITAN (ILE2T)",,"East","129-132Cd","20","LP UC_x","IGLIS","4","Start-up","N/A",,"22Ne","180A-1400A","MCIS",,
"2016-07-03","PM",,,,"S1466","TITAN (ILE2T)",,"East","129-132Cd","20","LP UC_x","IGLIS","4","Start-up","N/A",,"22Ne","180A-1400A","MCIS",,
"2016-07-04","AM",,,,"S1466","TITAN (ILE2T)",,"East","129-132Cd","20","LP UC_x","IGLIS","4","Setup","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
"2016-07-04","PM",,,,"S1466","TITAN (ILE2T)",,"East","129-132Cd","20","LP UC_x","IGLIS","4","Setup","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
"2016-07-05","AM",Maintenance,,,,,,,,,,,,"S1565","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
"2016-07-05","PM",,,,"S1466","TITAN (ILE2T)",,"East","129-132Cd","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
"2016-07-06","AM",,,,"S841","YIELD ",,"East","n-rich In","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
"2016-07-06","PM",,,,"S841","YIELD ",,"East","n-rich In","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
"2016-07-07","AM",,,,"S841","YIELD ",,"East","n-rich In","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
"2016-07-07","PM",,,,"Setup","TITAN (ILE2T)",,"East","130-133In","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
"2016-07-08","AM",,,,"S1502","TITAN (ILE2T)",,"East","130-133In","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
"2016-07-08","PM",,,,"S1502","TITAN (ILE2T)",,"East","130-133In","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
"2016-07-09","AM",,,,"S1502","TITAN (ILE2T)",,"East","130-133In","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
"2016-07-09","PM",,,,"S1502","TITAN (ILE2T)",,"East","130-133In","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
"2016-07-10","AM",,,,"S1502","TITAN (ILE2T)",,"East","130-133In","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
"2016-07-10","PM",,,,"S1502","TITAN (ILE2T)",,"East","130-133In","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
"2016-07-11","AM",,,,"S1502","TITAN (ILE2T)",,"East","130-133In","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
"2016-07-11","PM",,,,"S1502","TITAN (ILE2T)",,"East","130-133In","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
"2016-07-12","AM",Beam Development,,Maintenance,,,,,,,,,,"S1565","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
"2016-07-12","PM",,,,"Setup","GRIFFIN (ILE1B)",,"East","132In","20","LP UC_x","IGLIS","4","S1565","DRAGON (HEBT2)",,"22Ne","180A-1400A","MCIS",,
